date,comment_text,sentiment,url_source,empty_field
2017-10-04T08:09:11+0000,صباحك وطن ... ستشرق الشمس يوما ما ...,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462644250516803,
2017-10-04T08:11:11+0000,لكن في فترة بن علي نجمو نكونو افضل لولا فساده و فساد بطانته و طحين مثقفيه .....,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462645160516712,
2017-10-04T08:12:31+0000,"سؤال  يستحقّ الردّ: ""هل تتكلّمين فعلا عن نفسك أنت أو تريدين نشر فكرة ما؟""",0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462645750516653,
2017-10-04T08:12:36+0000,اله يرحم والديك ما بردلي على قلبي كان إنتي,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462645790516649,
2017-10-04T08:13:40+0000,آمييييييييييييييييييييييين  بجاه  هاالصباح المبروك.,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462646310516597,
2017-10-04T08:14:29+0000,ألا أتذكر أن اللحم كان بعشرة ألاف كان في التسعينات,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462646547183240,
2017-10-04T08:15:19+0000,المهم خبز. و ماء و بن على لا كان نعرف الجملة هاذي شكون قالها و الله منحرقوا من كرارزوا...,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462646943849867,
2017-10-04T08:15:25+0000,امين,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462647007183194,
2017-10-04T08:17:04+0000,7atta a7na ma93adilna kén dou3a !,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462647897183105,
2017-10-04T08:17:46+0000,امين يا ربي ، البلاد دخلوها في حيط,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462648567183038,
2017-10-04T08:18:56+0000,لتوا مازلت تعبد في بن علي .المخلوع صفحة وطويناهها بحلوها ومرارها,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462649123849649,
2017-10-04T08:20:10+0000,bien    sur    !!   maintenant   la   tunisie    est   détruit     !!,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462649637182931,
2017-10-04T08:25:08+0000,امين يا رب العالمين,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462651727182722,
2017-10-04T08:30:09+0000,foul bilkammoun,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462653957182499,
2017-10-04T08:30:59+0000,اهم شئ هو الأمن لي كان في تونس,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462654430515785,
2017-10-04T08:31:13+0000,امين,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462654523849109,
2017-10-04T08:33:09+0000,les tunisiens et specialement les tunisiens ne peuvent  etre gouvernés qu'a coups de baton,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462655330515695,
2017-10-04T08:36:12+0000,Tanmia 5 % Oui ama fi sousse w monastir,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462656573848904,
2017-10-04T08:43:25+0000,oui mais expliques comment nous supportons sans réagir cette mise à mort du pays????? éclairez moi mme je ne comprends plus,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462660017181893,
2017-10-04T08:52:52+0000,Wallah shih kol chay khriss kan chnouwa hadha,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462664177181477,
2017-10-04T08:53:28+0000,واقعية دائماً ......ألفة يوسف .....صباحك زهور 💐 و ورود.,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462664420514786,
2017-10-04T09:01:34+0000,Aaaamin,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462668550514373,
2017-10-04T09:01:53+0000,دكتورة و أستاذة جامعية تمجد دكتاتور و لص أضاع على تونس عشرات السنين . من يحكمون الآن أليسوا ازلامه و تلامذته . المشكل فقط عندك أن الإسلاميين احرار,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462668677181027,
2017-10-04T09:02:42+0000,انت وحدك اشريتو 10 دينارات وحنى نشريو فيه 14 دينار قداش استبلاه لشعب والامن مستاتب وقتها إلي اربي نعجتين ايجيوه في اليل ويهزوهملو يا مدام عشت وقت بن علي الكل راو يزي من نفاق,0,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462669087180986,
2017-10-04T09:03:20+0000,I RESPECT YOU SO MUCH DEAR PROFESSOR OLFA.GOOD DAY.,1,https://www.facebook.com/OlfaYoussef2/posts/1462642170517011?comment_id=1462669397180955,
2017-12-24T08:39:32+0000,انا مثلك تماما,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542846985829862,
2017-12-24T08:39:49+0000,هل الإمارات تمولك يا أستاذة ؟,0,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542847139163180,
2017-12-24T08:39:56+0000,Joyeuse fête Madame Olaf  Et Bonne santé à tous  Paix amour amitié,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542847212496506,
2017-12-24T08:39:57+0000,هالوين بركة مانحبوش هههه نعم للإحتفالات  و الفرح,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542847229163171,
2017-12-24T08:44:26+0000,هذا يقلق داعش و القاعدة و من جاورهما,0,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542849635829597,
2017-12-24T08:47:33+0000,احسنت,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542851075829453,
2017-12-24T08:51:19+0000,يا يوسف المراة التونسية راهي تحت الصباط في الامارات و ملوحة في المطارات مع وليداتها وانت تحكي على الاحتفالات و الاعياد ،,0,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542853219162572,
2017-12-24T08:51:28+0000,آني كيفك 😊☺ نعم للاحتفال .... نعم للحياة ☺😊,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542853315829229,
2017-12-24T08:51:49+0000,انا مسلم و لا أحتفل إلا بأعياد إسلامية,0,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542853472495880,
2017-12-24T08:52:48+0000,كلام معقول و صحيح,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542853879162506,
2017-12-24T08:55:24+0000,Paroles parfaitement logiques .,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542855219162372,
2017-12-24T08:55:37+0000,الاحتفال هو حب الحياة.و البشر... هو   رؤيا متفائلة للحاضر  و الغد...,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542855319162362,
2017-12-24T08:57:00+0000,صباح النور ألفة ، هاته الاحتفالات توحد البشرية. لكن من المؤسف أننا لا  نعلم مولد باقي الأنبياء. ليتنا نتحرر و لو ليوم بفكرنا و أنفسنا...,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542855865828974,
2017-12-24T08:59:48+0000,صباح الخير,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542861939161700,
2017-12-24T09:00:12+0000,bien   dit,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542862302494997,
2017-12-24T09:01:29+0000,Bonnes et joyeuses fêtes à vous et à tous ceux que vous aimez. J'admire votre courage.,1,https://www.facebook.com/OlfaYoussef2/posts/1542846365829924?comment_id=1542863012494926,
