comment_text,date,source_url
brabbi chnia hazzebla elli t3addiou fiha  men wa9tach echawadh wallat tetetra7 oumourhom fi itar 3a2ili men wa9tach zina el ma7arem yo3tabar dhahra metfachia fi tounes chnoua hal narcissisme 3and hallemmarek  a3tihom yodhrou mosli7ine whouma mo5arribine na3 zabbour ommkom el 9a7ba,2017-01-30T22:14:14+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
بالله عليكم ماعاد تعملوا اعاده لبرامجكم راكم ركبتولي الاعصاب ولطفي العماري ومحمد بوغلاب ارزيني فيكم نفختولي راسي😝😝😖😖😖😖😖😖,2016-11-26T14:51:44+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
Ferrero rocher علاش ما ثماش برامج للشباب يقدموها شباب موهيبين في مختلف الفنون و العلوم برامج خفيفة و IN البرامج البرقية اللي موضة في العالم خفيفة ما تخوش برشة وقت,2016-11-26T12:03:02+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
ya3n zok omk w om el barnemj nektna fe zatla ya mnayk w ya3n zok omo e la7am eli jeybo bara ya3n zok om omk ya mnayk manektna ken enty kroz 3afsin f zaweli mandher mta3 zeby ken tji godem zeby manikek alah yehlkek ya mibon,2017-01-03T22:16:37+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
brabi sémi ne nous raméne pas de sales types comme l'émission du mardi soir des gens makboutins kwanjia qui fausse toute l'ambiance sa commence à perdre son charme tes émissions,2016-11-27T08:01:42+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
نشالله ما يبداش يهز مالجابية و يحط الخالية عندو ما يقولنا حتى هو ربي يستر,2016-11-27T17:03:53+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
plus qu on parle  plus  les gens  ceci   leur donne des idees  et  apres le font   moi  je trouve    comme   on leurs die comment certain font  certain disent  moi aussi    comme  les fils americain    des coups  les americains sont tous  arees  et tirent   pour rien    que  allah nous preservent   amin,2017-01-21T21:48:32+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=3&theater
Brabi a3mlouna barnamej elmouwaten fi mouwajahet esiyassi taw tchoufou inou echa3b mtha9ef w ya3ti el7ouloul 5ir mi eno5ba mta3 tunis.,2016-11-26T10:58:28+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=1&theater
Sami lfehri wlh ya 5ouya 9a3ed da3em fil fsad w zna  .!!!  A9all chay 3ahiratt ebliss 5alihom ba3a 3la tv moch bhy haka !!?  😖 t3ari ro7ha w to5roj fi tv !! 😣😦 ti rahi 3aylat tab3 fikom fama eli y7eb ytfarj fihom w fama eli ya7chem 3la ro7w ki ra (kelham eli m3arya ro7ha la medi wla mel mela )  wlh 3ib 😭😭😭😭😭,2017-01-21T22:20:11+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=1&theater
بربي اخطكم من التمنيك وبر شوف الشباب وين وصلو يسرقو ويخطفو يزيكم من ظربن لحنك وشوف حلا لشباب,2017-02-01T10:32:16+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=1&theater
منعو عندي مانقلك اخترعولنا حكاية جديدة الله يستر,2016-11-26T10:06:35+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=1&theater
أولا تحياتي لكل الاعلاميين بقناة الحوار التونسي وعلى ماتقدمه من برامج رائعة إلا أنني أتمنى أن يتم معالجة بعض المواضيع الاجتماعية المطروحة والتي تعاني منها مجتمعاتنا العربية الإسلامية بطريقة تليق باخلاقنا وقيمنا الاجتماعية وما امرنا به ديننا الاسلامي ولكم كل التقدير والاحترام والله أسأل التوفيق ***** ليبي,2017-02-05T13:05:42+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1281814928555887/?type=1&theater
تي علاه تشريو في افكار برامج من قنوات اجنبية ياخي عندكم عطل في انتاج الافكار يا عرب؟!! عندي برشا افكار خوذوهم بلاش ههههه,2017-02-04T17:02:42+0000,https://www.facebook.com/EttounsiyaTV/photos/a.285605701510153.64809.136462473091144/1399423656795013/?type=1&theater
