comment_text,sentiment_category,date,source_url
Mabrouk,Positive,1/2/2018 16:05:01,https://www.facebook.com/TunisieTelecom/posts/1763023373749225
Mabrouk,Positive,1/2/2018 15:49:31,https://www.facebook.com/TunisieTelecom/posts/1763023373749225
الف مبروك العاقبه لينا شكر اتصلات تونس على عروضك الممتازا,Positive,1/2/2018 13:03:20,https://www.facebook.com/TunisieTelecom/posts/1763023373749225
Tunisie Télécom  amiiiin allah ykhalikom ❤️,Positive,12/31/2017 12:53:08,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
merci tt,Positive,12/30/2017 20:23:07,https://www.facebook.com/TunisieTelecom/videos/1707092332675663/
Merciii télécom  nchalhaaa ❤❤❤❤ 3ala Tunis l8alyaaa wala cha3ab 3am 5ir wbarka,Positive,12/30/2017 16:56:01,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
Bonne année😘😘😘😘😘😘😍😍😍😍😍😍😍,Positive,12/30/2017 14:34:32,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
"A7san 7aja ani convontioner m3akom et merta7a barcha 
Baba wa ommi 7ajou bit rabi.,5ouya inzedlou banouta après 5 ans 5ouya walla docteur fi compus wa ana nje7t fi concour hamdouleleh inchallah 2018 a7san",Positive,12/30/2017 13:56:08,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
"A7san 7aja ani convontioner m3akom et merta7a barcha 
Baba wa ommi 7ajou bit rabi.,5ouya inzedlou banouta après 5 ans 5ouya walla docteur fi compus wa ana nje7t fi concour hamdouleleh inchallah 2018 a7san",Positive,12/30/2017 13:56:08,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
كل عام TT وكل المسلمين بالاف خير,Positive,12/30/2017 13:27:07,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
Bonne année 2018 inchallah kol 3am wentom b5er,Positive,12/30/2017 12:23:08,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
saha labas heki el fayda bonne année Tunisie Télécom :),Positive,12/30/2017 10:28:09,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
أحلى ذكرى في 2018 أصبحت جدة كل عام وانتم بالف الف اتصالات تونس,Positive,12/30/2017 10:21:14,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
bonne annee 2018 inchallah duma farhanine avec.tunisie telecom,Positive,12/30/2017 6:06:48,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
"احلى لحظات في 2017 : 
*التخرج بملاحظة حسن جدا 
*الخطوبة
💟💟💟 الحياة دائما احلى مع اتصالات تونس",Positive,12/30/2017 5:38:45,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
Bonne année 2018 inchallah khir min 2017 je suis Fidel et content avec télécom DUMA maana,Positive,12/30/2017 5:31:49,https://www.facebook.com/TunisieTelecom/posts/1758505850867644
Okhti hatta orange akber sarra9a khalik telecom c mieux wallah,Positive,12/29/2017 7:54:47,https://www.facebook.com/TunisieTelecom/posts/1741323242585905
3malit portabilité w kalouli service t7assannn w hoywaaa nulllll min emess w eni sans resauuuu orange kasset réseau w Telecom nkalm fikkom tkoulouli chwaya wakt 3andib jrrs winou l service ndeeeeeeemit ili 3mlit transfet w tel khidmit ech na3mlllll,Positive,12/29/2017 7:33:47,https://www.facebook.com/TunisieTelecom/posts/1741323242585905
شكرا,Positive,12/27/2017 10:55:31,https://www.facebook.com/TunisieTelecom/posts/1741323242585905
Merci beaucoup,Positive,12/24/2017 14:09:44,https://www.facebook.com/TunisieTelecom/posts/1740372216014341
Sama7ni ena kenit il pus mté3i telecom 3malt portabilité m3a Orange w mba3ed mdayda zit 3malt portabilité m3a ooredoo est-ce-que najim narja3 telecom?,Positive,12/24/2017 2:01:09,https://www.facebook.com/TunisieTelecom/posts/1740372216014341
