comment_text,sentiment,date,source_url
جازة منورة محلاها تحفل كل محفل اقلبها كبير مالياتو بربي نشاء تواصل هكة تربح في الدنيا والآخرة نشاء اللٌه,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
إذا كانت زيارة أردوغان لتونس فيها صدق و خير لاقتصادنا فيا حبذا والنترك الانطباعات السيءة جانبا معروف ان ثونس لها سيادتها و الحمد لل,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
وزاز  هههههههه   نحبهه,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
حتّى واحد الكل علحييييييط,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
يا اعلام العار,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
الله لا تباركلهم الجيعانين,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
القيروان ميستهلوهاش ناسها,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
سارقهم واحد من الجهة إلي لقاوهم فيها حب يتخلص منهم ورماهم في مصب الفضلات,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
نتكيفو في المجلس التأسيسي مالا ملاّ قوانين ثورية كان تلهيتو في غلاء المعيشة والمواطن إلي جيبوا فارغ و عايش على المديونية والبنية التحتية الكارثية و البطالة خير .... نواب الهانة ياخي نخبناكم باش تحرموا علينا الدخان,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
كان منعتو الزطلة خير لتسببت في كوارث اجتماعية ولاو يقتلو البو ولا الام بلا شفقة خير من كل مرة مخرجين ربع قانون من نفع بشئ,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
لدخان من السبيطارات مانجمتوش تنحيوه ... باش تنجموا تنجيوه من القهاوي,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
كان خممتوا في تحسين آداء الناس إللي عندها علاقة بالخدمات الصحية كان خير,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
ناس تحب على التشغيل وا&ستثمارات موش على حكم قرقوش وحكايت فارغة كيفكم قالو تدخبن وقهاوي كملو اقضيو على الشعب ضربة وحدة خير نعلبو تفاهتكم وحكمك التافه,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
احسن قرار...اللي يحب يتكيف يتكيف في دارو و ميضرش الناس معاه,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
حاجة باهية 😁,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
اش خص انشاء الله صحيحة ويقطوه جملة,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
ليس هذا الحل,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
ونعمة الرأي واش خص,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
خطوة رائعة,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
الفقر و البهامة...,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
كان الكذب,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
اعز شي,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
طز طز طز طز  دوحي ملا قرارات متاع دولة فارغة,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
احسن حاجة تعملوها,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
هههههههههههه هههههههههههه كلو كذب,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
ههههههه الحكومة وسبسي هما اكبر ارهبين في تونس اتفووووو عليك يا اعلام العار,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
الشيطان سيدمرالبشريه كمايشاء,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
أكبر ارهايي شد القصر,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
هيا الحمد لله مش تونسي 😂😂😂,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
معنها المؤذن لازم يقرا موسيقى توا عادي انتوما لذان مجعول باش افكرنا بصلاة هوا صوتو جعير لاحضتوه اما علاش يذن انستوه تجوامع فارغ,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
قداش نموتو على تقشقيش لحناك توا هي قالت الأصوات المزعجة و هي حرة في رايها و زيد نحنا شمدخلنا في المصريين كي تقرا الكومنترات على الفيسبوك تقول ملا شعب قداش مؤمن و متقي و صاحب  دين و أخلاق و خايف على إسلامو و المناضر و المنطق العادم إلي نراو فيهم على أرض الواقع شي يوقف المخ,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
والله اواخر دنيا .... هذه البدايه ومازال مازال .رأيتم الانقلاب الى اين يأدي,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
لست ادري كيف يكون للبعض شئ من الجراة في قول كهذا انا لا اتفق مع الاخوان  ولكن اظل مسلمة مؤمنة بالطقوس والفرائض الدينية بصراحة هذه السيدة اخطات,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
لا حولة ولا قوة الا بالله,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
العيب مش فيك العيب فلي يحطومؤذنين أصواتهم لاتصلح للاذان,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
يا لطيف على هذا الكلام العار,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
مع افشل و امسط منشط تونسي امين ڨعرة,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
داىما تحية طيبة لمريم ' شموس' امي عزيزة 'ليتيسيا'' طارق....,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
أمين ربي معاك,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
الله لتربحك يا مريم الدباغ انتير ميلان الخساره الثالثه على التوالي,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
منيش فاهمه حاجه ك مريم طفلة عادية ك بنات الكل اعلاه تقول أنا ازين طفلة ف تونس .   و هي وجها ملبز كلو مكياج  ماو شوي تواضع  ك تعرف روحك عادية علاه تكبر و النرجسية,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
كذب المنجمون ولو صدقوا و لا يعلم بالغيب الا صاحب الغيب,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
كذب المنجمون ولو صدقوا .,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
جهل مصيبة,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
الدقاقز قوة في الكذب,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
استغفر الله يا ولادي شرك هذا بالله,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
و الإمارات ما استعرفتش بيها,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
سلام عليكم ورحمة الله وبركاته أنا مغربي ومن محبي سلسلة شوف لي حال الله يرحم سفيان شعري طويل العمر الباقية من نجوم سلسلة المميزة وتحياتي لشعب تونس شقيق,positive,2017-12-27,https://www.facebook.com/AttessiaTV/
شكرا قناة التاسعة لاختياركم اللقطة الي مصورتها انا وسفيان ربي يرحمو وينعمو انشالله,positive,2017-12-27,https://www.facebook.com/AttessiaTV/
له يرحمو سغيان الشعري و يصبر عايلتو و يجعل مثواه الجنة,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
ه يرحمو..قداش دخل الضحكة علينا ❤❤❤😭,positive,2017-12-28,https://www.facebook.com/AttessiaTV/
نا حبيبتكم من دزاير دارنا كامل تشاهد فيكم ربي يخليكم ان شالله والله عاملين جو مش نورمال سيرتو بعلووووووووشي,positive,2017-12-27,https://www.facebook.com/AttessiaTV/
و الله لا تحشمها يا قياس,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
والله مخيبكم بالرسمي افففففففف,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
طيح سعدكم ياخماج,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
لله يذلكم الكل,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
لعنة الله على لمارك شمس يمثل الطرب!.برا حل كتاب على روحك,negative,2017-12-27,https://www.facebook.com/AttessiaTV/
خسارة فيه حتا الاسم ..نكرة,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
أففففففففففففففففففففففففففففففففففففففففففففففففف,negative,2017-12-28,https://www.facebook.com/AttessiaTV/
يكب كبوكم ما يزيناش الجمعيات التبشيرية الي زادمة علينا تصطاد في الشباب الفقير بش يبيع دينه ??,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
هما تمسكو باوطانهم وسيبو باباهم واحنا عملنا العكس فبحث تفاهات  لاتهمنا ليست من تقاليدنا متاع الناس للناس خذوا منهم العلم وليس بابا كرموس,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
تو منطق هذا اكثرنا في تونس نحتفلو براس السنة اما موش هكا ملا فكرة باش احطوها في مخ صغارنا,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
احنا في تونس ولا في بلاد الكفار؟؟؟ لعنكم الله,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
اش دخلكم بربي تدخلو في حياة ناس وحابين تجيبولنا مصيبة,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
كل سنة وانت طيب ينعاد عليك بالصحة والعافية والمحبة والسلام ويحقق كل امانيك و طموحاتك ويعطيك طول العمر 🎁🎉🎊🎈,positive,2018-01-01,https://www.facebook.com/AttessiaTV/
قناة النفاق تتمنى لكم الخير هههههههه,negative,2017-12-31,https://www.facebook.com/AttessiaTV/
علي الخير يا اشرار هههههخ,negative,2017-12-31,https://www.facebook.com/AttessiaTV/
كل عام وانتم بالف خير ودمتم متالقون,positive,2018-01-01,https://www.facebook.com/AttessiaTV/
انشالله بالتوفيق والنجاح,positive,2017-12-31,https://www.facebook.com/AttessiaTV/
كل عام وانتم بألف خير,positive,2017-12-31,https://www.facebook.com/AttessiaTV/
تحي عطرة مع كل المحبة مني انا الي جميع اخواني في تونس الحبيبة #مراد_بيك من #الجزاير,positive,2017-12-31,https://www.facebook.com/AttessiaTV/
علاش من شوفو ش من وسط ول جنوب  تصلحو في كراهب اصابكم  وتفلمو علينا,negative,2017-12-31,https://www.facebook.com/AttessiaTV/
عامكم سعيد و مديد,positive,2018-01-01,https://www.facebook.com/AttessiaTV/
صحيح...ما يمشيو كان للكراهب الجدد...الحكاية الكل مفبركة ...ظاهر الشي...لا مصداقية..و لا زهر..و احنا نخسرو في ال  ...و الفلوس...خسارتكم...,negative,2017-12-31,https://www.facebook.com/AttessiaTV/
اقعدوا كي الببغاء كان التقليد,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
ذوي اعاقة موش احتجاجات خصوصية كيما قلت انتي ذوي اعاقة,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
ملا ثقافة و ملا لغة سبحان الله فعلا تلافز شارع,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
برنامج ممتع و ثريؤ,positive,2017-12-31,https://www.facebook.com/AttessiaTV/
النواره متع لميسيون شمس  وجولي وطيب وصادق,positive,2017-12-31,https://www.facebook.com/AttessiaTV/
انشاء الله يكونو صادقين...ما عنديش فيهم ثقة.....,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
كان اربحت راك اربحت انت. يزي بلا كذب واستهتار ودزان الحنك يا واش اقول فمي....,negative,2018-01-01,https://www.facebook.com/AttessiaTV/
و انتوما ما صدقتوا عاد. جبتوا الصيد من قرنو,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
يستاهل هاك الدب,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
لا خير في البرنامج تافه ولا خير في الي يستحسنوا فيها! وامبعد يقلك الاقتصاد طايح وبلاد تمشي بالتوالي بأمثال هؤلاء \" المثقفين \" وهذه الثقافة سنحتل المراتب الاولى ، ولا حول ولا قوة الا بالله !,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
بالحرام عاودتها يجي 5 مرات ههههه ابداع و زيد مزيانة ياسر.الي ما عرسش بوحدة مهبولة متاع ابداع و زين كيما هاذي يمشي يرمي روحو تحت تران برج السدرية خيرلو هههههههههههه.,positive,2018-01-02,https://www.facebook.com/AttessiaTV/
ههههه...باش تبدا عاد الأحزاب و الهيئات السياسية  تأمر و تتآمر ..خلونا رايضيين...الزيادات على العالم اجمع...المفيد تونس فيها السلم و السلام...مشكم انتوما تشنعونا..و بعد تهربوا و تضربوا لجوء سياسي..كيما عائلة البوعزيزي. .و تخلونا احنا في الدماء نتخبطوا,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
يحبوا يشنعوا البلاد..وبعد يهربوا و يضربوا لجوء سياسي.. كيما عائلة البوعزيزي. .و يخلونا احنا نتخبطوا في القتل و المقتول,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
لا هيئة و لا وذني كيفها كيف مؤسسات تونس الكل كان الكذب و التبجديق ما فمة شيئ و انا اصبحت انشك الي هي معمولة باش تمتص غضب الناس المظلومة و بعد مدة اتقلهم هاو المرفڨ . الله غالب برشة ناس ابنات طموحاتها اعليك يا بن سدرين لكن للاسف ظهرت كيفك كيف باقي المسؤولين شعارك الكذب و النفاق,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
تنساش عليسة و حنبعل اه البايات قبلهم ، هيئة التلفيق و الفتنة. لفلوس لتصرفو على هيئة لخراب احلو مول فى تونس.. الله غالب تونس تلوات و طاحت على جنب,negative,2018-01-02,https://www.facebook.com/AttessiaTV/
